driverId,week,hours-logged,miles-logged
903,21,51,300
466,44,59,800
326,37,78,500
298,41,60,2500
624,44,64,1300
849,27,74,1500
363,45,80,1700
569,15,79,2100
824,17,67,2300
528,6,58,400
390,25,67,1600
737,2,62,2200
730,1,56,3000
450,28,68,1900
943,52,65,2000
554,20,74,3700
937,50,69,400
387,29,80,1600
871,34,62,1900
568,27,69,800
399,42,74,3200
350,25,53,3800
181,38,60,1800
486,44,64,2500
601,47,61,900
340,6,53,1600
998,30,70,3000
491,40,69,1100
95,11,67,3500
196,34,80,2400
321,13,62,1900
249,37,51,3100
853,44,76,2100
970,32,75,2400
534,47,75,2400
193,21,71,3200
930,32,69,2600
943,32,68,2100
627,42,62,1800
68,50,66,2700
950,35,54,100
446,4,60,4000
55,27,80,3500
729,33,76,100
485,32,71,3400
134,31,65,3000
793,11,62,1800
538,46,79,200
859,39,69,1700
734,34,53,2600
466,17,75,100
824,17,78,2500
813,22,67,3600
550,32,53,3400
133,30,73,1400
688,13,52,3200
154,1,72,400
1002,32,62,200
318,7,52,1400
60,12,58,4000
995,21,58,2000
827,18,51,1700
940,34,74,2800
381,48,51,3300
793,26,78,1500
400,28,62,800
253,38,64,1300
378,31,54,700
774,20,53,1200
76,29,71,3200
45,46,74,1100
600,12,70,3600
306,24,76,1800
393,46,60,2000
414,27,53,100
72,1,71,2300
502,38,52,700
504,26,54,1600
974,14,61,3400
908,48,51,1900
277,50,68,3300
439,45,60,1400
842,17,80,2800
830,39,59,3100
156,18,61,3700
952,47,79,200
248,30,56,900
185,8,69,2400
587,19,59,1000
30,49,80,3400
264,16,79,2400
583,35,76,3700
935,34,65,2000
493,52,64,3700
195,11,61,2600
873,29,52,1500
404,4,54,3200
474,24,58,2800
901,48,78,2800
991,11,73,600
434,20,61,1000
459,7,57,3000
69,27,71,3800
967,26,74,800
706,16,66,3300
812,18,57,400
431,28,75,1200
524,42,75,2300
175,50,75,3300
624,24,77,2200
312,40,70,1000
162,21,69,1900
611,23,70,3300
667,2,60,2100
720,42,78,400
663,4,58,2600
156,13,54,1400
64,13,62,2400
149,9,64,1000
945,3,60,1300
360,26,64,2300
141,45,58,0
769,19,76,0
273,17,54,1800
408,2,64,3400
871,38,66,3500
51,30,67,2500
403,10,55,1700
947,29,64,2200
868,28,78,1100
809,22,58,900
527,44,66,200
817,10,71,1600
708,43,64,1800
103,1,80,700
616,18,57,1200
282,3,58,3100
182,37,80,3800
963,1,65,2400
928,5,78,600
454,40,62,300
237,52,80,2200
451,7,79,2000
799,23,51,3700
621,37,67,1000
664,7,54,600
827,8,69,1400
993,10,59,2900
337,46,67,1900
569,11,61,4000
601,16,72,1500
59,39,53,3200
209,44,54,2400
450,2,60,1200
681,8,67,100
306,42,63,300
102,30,68,3100
432,7,50,3400
879,45,52,1200
37,20,79,2700
936,25,61,2700
442,7,78,3400
107,52,77,2200
441,24,58,1900
719,51,80,3600
298,30,75,1200
312,28,64,100
503,32,74,3200
604,22,51,400
571,20,57,2800
587,48,80,2300
74,48,68,3200
606,51,70,1300
966,26,65,1600
620,49,66,100
854,39,50,3900
558,6,59,2500
183,46,55,1700
163,21,76,1800
896,7,56,3700
295,30,75,500
360,14,53,300
20,41,51,3000
409,18,52,3800
868,46,70,2200
785,16,80,900
517,18,72,1800
520,4,61,2100
286,15,74,600
898,35,51,1200
442,52,67,2900
959,39,70,1300
671,38,67,900
79,21,60,2600
688,39,71,3700
136,51,76,1400
939,21,79,4000
814,37,78,1100
100,12,78,2500
774,32,65,2100
27,36,76,2500
455,20,71,2000
107,18,71,1800
557,47,56,3400
130,14,66,600
36,32,76,3700
184,12,68,400
621,8,73,2400
978,49,56,1500
345,34,70,1200
294,3,54,1100
57,1,69,2900
291,10,73,3900
461,51,56,3200
110,25,70,1100
382,45,76,3700
928,38,62,3300
405,18,50,2000
466,18,79,3100
52,35,51,1900
588,21,59,3200
569,6,77,3000
823,24,60,2800
396,41,66,2300
327,42,74,1100
438,44,79,900
371,25,66,2100
653,4,54,1200
877,4,65,1800
401,30,58,3200
720,9,70,1800
490,17,64,2600
708,4,65,3000
424,6,50,500
530,35,74,3100
165,30,66,1500
179,1,78,1900
383,25,79,600
506,41,72,3100
341,36,79,1600
97,26,76,400
297,29,67,900
522,27,59,3600
269,23,63,3200
564,33,76,1500
549,48,80,3900
454,34,57,1900
414,11,50,0
49,27,68,1200
877,36,55,1000
434,24,52,3200
869,10,78,2600
416,15,50,1000
387,4,61,4000
571,45,71,2500
645,15,64,3000
79,3,53,2700
338,7,54,1300
975,9,61,0
377,11,69,2600
464,25,61,2100
585,43,67,1500
986,33,68,600
50,9,69,3700
324,2,80,800
701,31,66,1900
608,33,56,3900
264,46,68,2400
375,9,71,3600
651,1,58,2800
534,38,59,600
57,50,79,2700
485,24,75,2300
294,4,61,2500
830,21,64,2000
942,16,57,200
237,13,60,1600
519,27,58,3300
471,27,55,2000
705,35,71,2400
601,28,80,2600
140,1,61,1700
156,49,58,2300
269,24,51,0
621,44,65,1400
429,45,72,3800
724,28,59,3000
494,15,74,1100
290,33,71,3200
562,23,65,1000
615,49,74,2000
450,22,59,2500
222,9,56,600
562,3,64,1400
154,29,62,3100
253,41,68,3000
415,4,74,2300
336,28,52,2500
677,37,52,800
291,39,68,3600
220,37,75,2800
1002,37,60,3900
